1,city,latidute,longtitude,admin_name
2,Kyiv,50.4500,30.5236,"Kyyiv, Misto"
3,Kharkiv,50.0000,36.2292,Kharkivs’ka Oblast’
4,Odesa,46.4775,30.7326,Odes’ka Oblast’
5,Dnipro,48.4500,34.9833,Dnipropetrovs’ka Oblast’
6,Donetsk,48.0089,37.8042,Donets’ka Oblast’
7,Zaporizhzhia,47.8378,35.1383,Zaporiz’ka Oblast’
8,Lviv,49.8419,24.0315,L’vivs’ka Oblast’
9,Kryvyi Rih,47.9086,33.3433,Dnipropetrovs’ka Oblast’
10,Mykolaiv,46.9667,32.0000,Mykolayivs’ka Oblast’
11,Mariupol,47.1306,37.5639,Donets’ka Oblast’
12,Sevastopol,44.6000,33.5333,"Sevastopol’, Misto"
13,Luhansk,48.5833,39.3333,Luhans’ka Oblast’
14,Vinnytsia,49.2372,28.4672,Vinnyts’ka Oblast’
15,Makiivka,48.0556,37.9611,Donets’ka Oblast’
16,Simferopol,44.9484,34.1000,"Krym, Avtonomna Respublika"
17,Poltava,49.5744,34.5686,Poltavs’ka Oblast’
18,Chernihiv,51.4939,31.2947,Chernihivs’ka Oblast’
19,Kherson,46.6333,32.6000,Khersons’ka Oblast’
20,Cherkasy,49.4444,32.0597,Cherkas’ka Oblast’
21,Khmelnytskyi,49.4200,27.0000,Khmel’nyts’ka Oblast’
22,Zhytomyr,50.2544,28.6578,Zhytomyrs’ka Oblast’
23,Chernivtsi,48.2908,25.9344,Chernivets’ka Oblast’
24,Sumy,50.9068,34.7992,Sums’ka Oblast’
25,Horlivka,48.3336,38.0925,Donets’ka Oblast’
26,Rivne,50.6197,26.2514,Rivnens’ka Oblast’
27,Ivano-Frankivsk,48.9228,24.7106,Ivano-Frankivs’ka Oblast’
28,Kamianske,48.5076,34.6132,Dnipropetrovs’ka Oblast’
29,Kremenchuk,49.0775,33.4239,Poltavs’ka Oblast’
30,Kropyvnytskyi,48.5103,32.2667,Kirovohrads’ka Oblast’
31,Ternopil,49.5667,25.6000,Ternopil’s’ka Oblast’
32,Lutsk,50.7478,25.3244,Volyns’ka Oblast’
33,Bila Tserkva,49.7956,30.1167,Kyyivs’ka Oblast’
34,Kramatorsk,48.7208,37.5556,Donets’ka Oblast’
35,Melitopol,46.8333,35.3667,Zaporiz’ka Oblast’
36,Sievierodonetsk,48.9500,38.4833,Luhans’ka Oblast’
37,Drohobych,49.3500,23.5000,L’vivs’ka Oblast’
38,Khrustalnyi,48.1214,38.9453,Luhans’ka Oblast’
39,Uzhhorod,48.6239,22.2950,Zakarpats’ka Oblast’
40,Berdiansk,46.7598,36.7845,Zaporiz’ka Oblast’
41,Sloviansk,48.8700,37.6250,Donets’ka Oblast’
42,Nikopol,47.5772,34.3575,Dnipropetrovs’ka Oblast’
43,Yevpatoriia,45.2000,33.3583,"Krym, Avtonomna Respublika"
44,Pavlohrad,48.5200,35.8700,Dnipropetrovs’ka Oblast’
45,Alchevsk,48.4672,38.7983,Luhans’ka Oblast’
46,Konotop,51.2369,33.2027,Sums’ka Oblast’
47,Brovary,50.5114,30.7903,Kyyivs’ka Oblast’
48,Kamianets-Podilskyi,48.6806,26.5806,Khmel’nyts’ka Oblast’
49,Lysychansk,48.9169,38.4306,Luhans’ka Oblast’
50,Dovzhansk,48.0846,39.6516,Luhans’ka Oblast’
51,Mukacheve,48.4414,22.7136,Zakarpats’ka Oblast’
52,Uman,48.7500,30.2167,Cherkas’ka Oblast’
53,Yalta,44.4994,34.1553,"Krym, Avtonomna Respublika"
54,Yenakiieve,48.2311,38.2053,Donets’ka Oblast’
55,Shostka,51.8657,33.4766,Sums’ka Oblast’
56,Berdychiv,49.8919,28.6000,Zhytomyrs’ka Oblast’
57,Bakhmut,48.6044,38.0067,Donets’ka Oblast’
58,Stakhanov,48.5472,38.6361,Luhans’ka Oblast’
59,Nizhyn,51.0500,31.9000,Chernihivs’ka Oblast’
60,Kostiantynivka,48.5333,37.7167,Donets’ka Oblast’
61,Izmail,45.3500,28.8333,Odes’ka Oblast’
62,Novomoskovsk,48.6328,35.2239,Dnipropetrovs’ka Oblast’
63,Nova Kakhovka,46.7667,33.3667,Khersons’ka Oblast’
64,Kovel,51.2167,24.7167,Volyns’ka Oblast’
65,Smila,49.2167,31.8667,Cherkas’ka Oblast’
66,Kalush,49.0442,24.3597,Ivano-Frankivs’ka Oblast’
67,Korosten,50.9500,28.6500,Zhytomyrs’ka Oblast’
68,Pokrovsk,48.2833,37.1833,Donets’ka Oblast’
69,Boryspil,50.3500,30.9500,Kyyivs’ka Oblast’
70,Kolomyia,48.5167,25.0333,Ivano-Frankivs’ka Oblast’
71,Rubizhne,49.0167,38.3667,Luhans’ka Oblast’
72,Chornomorsk,46.3017,30.6569,Odes’ka Oblast’
73,Khartsyzk,48.0333,38.1500,Donets’ka Oblast’
74,Druzhkivka,48.6203,37.5278,Donets’ka Oblast’
75,Stryi,49.2500,23.8500,L’vivs’ka Oblast’
76,Bilhorod-Dnistrovskyi,46.1833,30.3333,Odes’ka Oblast’
77,Irpin,50.5167,30.2500,Kyyivs’ka Oblast’
